一级菜单,二级菜单,三级菜单,页面路径,页面操作按钮,按钮标识
,,,,启用,
,,,,停用,
,,,,查看详情,
结算,异常订单,,/settlement/commission_details/list,查看详情,
,,,,导出列表待对接,
,,,,导出列表,
结算,供应商结算,,/settlement/supplier_settlement/list,查看详情,
,,,,批量加入结款单,
结算,清分汇总,,/settlement/commission_summary/list,开始日期,
,,,,结束日期,
,,,,导出列表,
,,,,查看详情,
结算,对账结算,,/settlement/reconciliation_settlement/list,导出列表待对接,
,,,,编辑备注待对接,
,,,,导出列表,
,,,,批量确认结算,
,,,,编辑备注,
,,,,导出列表待对接,
,,,,导出列表,
,,,,禁用,
,,,,启用,
,,,,导出列表待对接,
,,,,导出列表,
,,,,查看详情,
,,,,上传凭证,
营销,营销记录,直播营销记录,/campaign/live-marketing/campaign-records/list,完成时间,
,,,,启用状态,
,,,,新增活动,
营销,营销记录,商城营销记录,/campaign/live-marketing/marketingRecords/list,,
营销,商城营销,商城优惠券记录,/campaign/commerce-marketing/coupon-records/list,查看详情,
营销,商城营销,商城优惠券,/campaign/commerce-marketing/mall-coupons/list,配置数量,
,,,,创建优惠券,
,,,,编辑,
,,,,上架,
,,,,下架,
,,,,删除,
,,,,启用状态,
,,,,新增模板,
,,,,启用,
,,,,禁用,
,,,,编辑,
基础设置,协议配置,小程序协议,/config/protocol-config/miniapp,协议查询,protocol:list
,,,,保存协议,protocol:save
基础设置,订单配置,,/config/orderConfig,开启,
,,,,保存,
基础设置,推荐位配置,小程序推荐位,/config/recommendation-position/miniapp,推荐位查询,recommendationPosition:list
,,,,推荐位详情,recommendationPosition:detail
,,,,推荐位新增,recommendationPosition:create
,,,,推荐位修改,recommendationPosition:update
,,,,推荐位删除,recommendationPosition:delete
基础设置,会员配置,会员等级,/config/membership_config/membership_level/list,启用,
,,,,停用,
,,,,新增等级,
,,,,编辑,
,,,,删除,
基础设置,素材管理,素材类型,/config/material/materialType,类型查询,mallMaterialType:list
,,,,类型新增,mallMaterialType:create
,,,,类型编辑,mallMaterialType:update
,,,,类型删除,mallMaterialType:delete
基础设置,素材管理,素材列表,/config/material/list,状态变更,mallMaterialAsset:changeStatus
基础设置,系统管理,菜单管理,/setting/menuManagement,菜单新增,menu:create
,,,,菜单修改,menu:update
,,,,菜单删除,menu:delete
,,,,查询,
,,,,重置,
基础设置,系统管理,组织用户,/system/org,组织新增,org:create
,,,,组织修改,org:update
,,,,组织删除,org:delete
,,,,用户新建,user:create
,,,,用户编辑,user:update
,,,,用户列表,user:list
,,,,用户删除,user:delete
,,,,用户重置密码,user:resetPassword
基础设置,系统管理,角色管理,/system/role,角色查询,role:list
,,,,角色新增,role:create
,,,,角色修改,role:update
,,,,角色删除,role:delete
,,,,角色状态修改,role:changeStatus
基础设置,系统管理,字典管理,/system/dict,字典查询,dictType:list
,,,,字典新增,dictType:create
,,,,字典修改,dictType:update
,,,,字典删除,dictType:delete
,,,,字典条目查询,dict:list
,,,,字典条目新增,dict:create
,,,,字典条目修改,dict:update
,,,,字典条目删除,dict:delete
基础设置,系统管理 / Flow 可视化,Flow 节点目录,/setting/flow/nodes,刷新,
,,,,详情,
